product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/red-tape-athleisure-shoes-women-cultured-round-toe-shape-cushioning-technology-walking/p/itmdfd9802a9ebda?pid=SHOH6ZSTZH9ZQ73H&lid=LSTSHOH6ZSTZH9ZQ73HUYDJY0&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOH6ZSTZH9ZQ73H.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,Athleisure Shoes for Women | Cultured Round-Toe Shape & Cushioning Technology Walking Shoes For Women,RED TAPE ,1434,0.78,4.4,2228
https://www.flipkart.com/sparx-sl-167-running-shoes-women/p/itm2b9342e43c47d?pid=SHOGQRGMTU9CXY4X&lid=LSTSHOGQRGMTU9CXY4XD1CBJM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOGQRGMTU9CXY4X.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,SL 167 Running Shoes For Women,Sparx ,979,0.1,4.3,14597
https://www.flipkart.com/shoe-blate-women-s-casual-walking-running-shoes-women/p/itm2b64102d08785?pid=SHOHEYB8ZRR8YHWZ&lid=LSTSHOHEYB8ZRR8YHWZTBCUSB&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOHEYB8ZRR8YHWZ.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,Women's Casual Walking Running Shoe Walking Shoes For Women,SHOE BLATE ,726,0.51,,
https://www.flipkart.com/campus-raye-pillofoam-cushioning-impact-protection-running-gym-casual-wear-running-shoes-women/p/itme7a7578a5677a?pid=SHOHF5KZFPMQGT53&lid=LSTSHOHF5KZFPMQGT53UYH932&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOHF5KZFPMQGT53.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,"RAYE Pillofoam Cushioning & Impact Protection | For Running, Gym & Casual Wear Running Shoes For Women",CAMPUS ,999,0.5,4.4,4773
https://www.flipkart.com/asian-mercury-11-black-sports-gym-walking-training-stylish-running-shoes-women/p/itmd6332e857f3ab?pid=SHOGPFGZGHRRHDYQ&lid=LSTSHOGPFGZGHRRHDYQ3ZBDPJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=en_iwWHoaPJxCo9TG43vj639slmXBR__dWsIS9-M2WwM-qwTEPkYf4AROwQOgMA_LkO7xQsEZ_irNFYJ34-ztz_zsDbPjpExlWhmpgUQnOg2ao%3D&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,"Mercury-11 Black Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,832,0.2,4.2,93678
https://www.flipkart.com/fabbmate-trendy-memory-foam-walking-slip-sneakers-women/p/itmd921f7c68f2d9?pid=SHOHEPJRMHG3RGHZ&lid=LSTSHOHEPJRMHG3RGHZHCF2AC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=en_iwWHoaPJxCo9TG43vj639slmXBR__dWsIS9-M2WwM-rQRkRG-2IX7x2PkucJGQZBpTQRmsSrN75be_mSVq2AsQ%3D%3D&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,Fabbmate Trendy Memory Foam Walking Slip On Sneakers For Women,Fabbmate ,398,0.5,4.2,179
https://www.flipkart.com/hrx-hrithik-roshan-147-03-running-shoes-women/p/itm5aeb9b2b71f80?pid=SHOGYGBJAJJKQYKH&lid=LSTSHOGYGBJAJJKQYKHJRCOZV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOGYGBJAJJKQYKH.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,-147 03 Running Shoes For Women,HRX by Hrithik Roshan ,1299,0.67,4.2,599
https://www.flipkart.com/trenz-shiv-nareshmens-lifestyle-sneakers-everyday-street-style-running-shoes-women/p/itm3b6e21eccc44a?pid=SHOHEYQRQMJQSYTN&lid=LSTSHOHEYQRQMJQSYTNIMEGPU&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOHEYQRQMJQSYTN.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,by Shiv NareshMen’s Lifestyle Sneakers for Everyday Street Style Running Shoes For Women,Trenz ,2199,,,
https://www.flipkart.com/bersache-premium-sports-gym-trending-stylish-running-shoes-women/p/itm53e96546dba36?pid=SHOHFC8WY6CHRA5V&lid=LSTSHOHFC8WY6CHRA5VHKONSB&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=en_iwWHoaPJxCo9TG43vj639slmXBR__dWsIS9-M2WwM-qOKqKTyHnWCrVkn0hvjgNhT8ABc5CSftu96a_pIIyCG9mEaX_1OVaDgohoY5ZV-y8%3D&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,"Bersache Premium Sports ,Gym, Trending Stylish Running Shoes For Women",BERSACHE ,809,0.83,3.9,345
https://www.flipkart.com/action-kia-401-lightweight-comfortable-ulta-comfort-running-shoes-women/p/itm90cc51c9619c6?pid=SHOGZXH8AUG6QGBC&lid=LSTSHOGZXH8AUG6QGBCPL73GF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=en_iwWHoaPJxCo9TG43vj639slmXBR__dWsIS9-M2WwM-qdyByUV9wPyF1HJrHu6fFV4M5Lv1Nu6q9tIskwVP94qQ%3D%3D&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,KIA 401 Lightweight Comfortable Ulta-Comfort Running Shoes For Women,action ,899,0.64,4,144
